Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,distance,robot_radius,final_inflation
RL,0,2.634255426979707e-06,0.015084748584849655,0.11469124257564545,14.378823627282998,0.6211817259641208,1,1.8870587909277543,0.015546906109935374,2.0,3.14,788,0.018363550305366516,0.01,0.11469124257564545
RL,1,1.8870587909277543,0.015546906109935374,0.0778268575668335,13.416448658657965,0.9623749686250331,1,1.6905268171292795,0.5283634747046365,2.0,2.8418967723846436,737,0.01,0.01782592013478279,0.1
RL,2,1.6905268171292795,0.5283634747046365,0.07979178428649902,12.633896855845224,0.7825518028127405,1,1.8936219649196597,-0.038931472663724494,2.0,3.112767219543457,771,0.01,0.011546798050403595,0.1
RL,3,1.8936219649196597,-0.038931472663724494,0.08218449354171753,11.700452362094865,0.9334444937503594,1,1.9454884004955115,-0.14172646450645132,2.0,3.028143882751465,800,0.013849318027496338,0.011375069618225098,0.1
RL,4,1.9454884004955115,-0.14172646450645132,0.14050127565860748,10.8013031318566,0.8991492302382653,1,1.7169603287374249,-0.3056424428937662,1.7582197189331055,3.14,576,0.01,0.01,0.14050127565860748
RL,5,1.7169603287374249,-0.3056424428937662,0.1234825849533081,9.788230582763841,1.0130725490927581,1,1.9608807608565837,-0.08375632416351077,2.0,3.136768341064453,800,0.01,0.01,0.1234825849533081
RL,6,1.9608807608565837,-0.08375632416351077,0.07216942310333252,8.922817254799018,0.8654133279648235,1,1.5846617846086357,-0.08488935580952668,1.6226762533187866,3.14,775,0.01,0.01,0.1
RL,7,1.5846617846086357,-0.08488935580952668,0.09047231078147888,7.912357207579847,1.010460047219171,1,1.9646912923357236,-0.11582254404341392,2.0,3.14,800,0.01,0.01,0.1
RL,8,1.9646912923357236,-0.11582254404341392,0.13641948997974396,6.9069858582729,1.0053713493069472,1,1.9422599581441102,-0.05149607064994757,1.973602294921875,3.14,800,0.01,0.016640253365039825,0.13641948997974396
RL,9,1.9422599581441102,-0.05149607064994757,0.10952270030975342,6.0052678463399936,0.901718011932906,1,1.7156112284593343,-0.030084272410525345,1.7506399154663086,3.14,800,0.01,0.01651330292224884,0.10952270030975342
RL,10,1.7156112284593343,-0.030084272410525345,0.09360218048095703,4.958577737792542,1.0466901085474518,1,1.9636714837853966,-0.02925000598636447,2.0,3.14,800,0.011097967624664307,0.01,0.1
RL,0,6.552726452119859e-07,0.0006621449135048498,0.08030661940574646,14.259523973794444,0.7404149703475937,1,1.8887810395304259,0.006654388161539094,2.0,3.14,800,0.01,0.013670720160007477,0.1
RL,1,1.8887810395304259,0.006654388161539094,0.11573594808578491,13.360592082140425,0.8989318916540192,1,1.6126284963825874,0.4933474839624979,1.7100707292556763,3.14,800,0.01,0.01,0.11573594808578491
RL,2,1.6126284963825874,0.4933474839624979,0.10057644546031952,12.613917553529017,0.7466745286114076,1,1.6521467245391124,-0.00828086704047158,2.0,3.14,743,0.02012425661087036,0.01,0.10057644546031952
RL,3,1.6560643455026733,-0.013411994657802885,0.031343936920166016,11.726108708085171,0.8878088454438462,1,1.7886785798489846,0.0009399677793632336,1.928981900215149,3.0771617889404297,800,0.01,0.01,0.1
